Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,443
design__inferred_latch__count,0
design__instance__count,11944
design__instance__area,79208.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,17
design__max_cap_violation__count__corner:nom_tt_025C_1v80,4
power__internal__total,0.010661640204489231
power__switching__total,0.011397844180464745
power__leakage__total,1.1131105281947384E-7
power__total,0.022059597074985504
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.469381657938278
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.4940038518078706
timing__hold__ws__corner:nom_tt_025C_1v80,0.3225566571805508
timing__setup__ws__corner:nom_tt_025C_1v80,12.785067588714316
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.322557
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.845036
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,100
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,17
design__max_cap_violation__count__corner:nom_ss_100C_1v60,4
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.6405912648316086
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.6829759173745357
timing__hold__ws__corner:nom_ss_100C_1v60,0.8830609826650883
timing__setup__ws__corner:nom_ss_100C_1v60,7.603141442750404
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.883061
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.603141
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,17
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,4
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.39944107485579033
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.4161137940884841
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11261714102241996
timing__setup__ws__corner:nom_ff_n40C_1v95,13.97321942148719
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.112617
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.391762
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,146
design__max_fanout_violation__count,17
design__max_cap_violation__count,7
clock__skew__worst_hold,-0.3928998071431529
clock__skew__worst_setup,0.40794255239614446
timing__hold__ws,0.1105273681640652
timing__setup__ws,7.359124184999132
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110527
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,7.359124
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 650.0 650.0
design__core__bbox,5.52 10.88 644.46 636.48
design__io,756
design__die__area,422500
design__core__area,399721
design__instance__count__stdcell,11944
design__instance__area__stdcell,79208.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.198159
design__instance__utilization__stdcell,0.198159
design__instance__count__class:inverter,17
design__instance__count__class:sequential_cell,935
design__instance__count__class:multi_input_combinational_cell,2829
flow__warnings__count,0
flow__errors__count,0
design__instance__count__class:fill_cell,31330
design__instance__count__class:tap_cell,5684
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,754
design__io__hpwl,186081285
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,2887.98
design__instance__displacement__mean,0.232
design__instance__displacement__max,11
route__wirelength__estimated,361743
design__violations,0
design__instance__count__class:timing_repair_buffer,2069
design__instance__count__class:clock_buffer,272
design__instance__count__class:clock_inverter,138
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,712
antenna__violating__nets,48
antenna__violating__pins,60
route__antenna_violation__count,48
route__net,6631
route__net__special,2
route__drc_errors__iter:1,2539
route__wirelength__iter:1,401485
route__drc_errors__iter:2,848
route__wirelength__iter:2,400292
route__drc_errors__iter:3,708
route__wirelength__iter:3,400012
route__drc_errors__iter:4,6
route__wirelength__iter:4,399983
route__drc_errors__iter:5,0
route__wirelength__iter:5,399970
route__drc_errors,0
route__wirelength,399970
route__vias,45471
route__vias__singlecut,45471
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1304.68
timing__unannotated_net__count__corner:nom_tt_025C_1v80,189
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,189
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,189
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,17
design__max_cap_violation__count__corner:min_tt_025C_1v80,2
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.4588370646634986
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.48096794575094876
timing__hold__ws__corner:min_tt_025C_1v80,0.3192375343322602
timing__setup__ws__corner:min_tt_025C_1v80,12.888116716417612
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.319238
